Timestamp,No,Age,Gender,Experience,Degree,Major,FM_1,FM_2,GM_1,FM_3,GM_2,FM_4,GM_3,GM_4,FM_5,FM_6,GM_5,FM_7,GM_6,FM_8,GM_7,GM_8,SA_1,SA_2,SA_3,SA_4,SA_5,SA_6,DA_1,DA_2,DA_3,DA_4,ENFE_1,ENFE_2,ENFE_3,TI_1,TI_2,TI_3,TI_4
2023/11/10 12:21:20 AM GMT+3:30,27,31,2,2,2,1,3,4,2,3,3,4,4,4,3,4,4,5,5,2,5,5,2,2,2,4,4,3,4,4,3,3,4,4,4,2,5,2,4
2023/11/10 9:30:31 AM GMT+3:30,28,30,2,3,2,3,2,3,4,3,4,4,3,4,4,3,4,4,4,5,4,4,3,4,4,4,4,4,5,4,5,4,3,3,4,4,4,5,4
2023/11/10 9:48:13 AM GMT+3:30,29,31,1,1,2,2,2,5,4,2,5,3,4,5,2,3,5,4,4,3,4,4,2,3,2,4,4,4,4,4,3,4,3,4,3,6,6,6,6
2023/11/10 9:54:54 AM GMT+3:30,30,26,2,2,1,1,2,2,5,2,5,3,5,5,2,2,5,3,5,3,5,5,4,4,2,3,2,4,4,4,4,2,4,4,3,2,2,2,2
2023/11/10 10:16:24 AM GMT+3:30,31,26,1,5,1,1,1,1,5,1,5,6,5,2,6,6,2,5,5,5,2,1,4,1,5,5,5,4,4,5,3,5,4,2,3,7,7,7,7
2023/11/10 10:35:52 AM GMT+3:30,32,28,1,5,1,1,1,1,6,1,6,1,6,6,1,1,6,1,6,1,6,6,3,3,2,4,2,4,4,4,4,4,4,4,4,2,2,2,2
2023/11/10 12:05:44 PM GMT+3:30,33,31,1,4,2,2,2,2,5,1,6,1,5,5,2,2,6,1,5,2,5,5,2,2,2,2,2,3,4,4,3,4,3,4,4,7,7,2,7
2023/11/10 1:23:58 PM GMT+3:30,34,25,2,5,1,1,4,4,3,3,2,3,4,4,1,2,6,1,6,1,4,4,3,5,5,3,1,3,4,4,4,3,2,3,3,3,2,4,6
2023/11/12 1:27:53 AM GMT+3:30,35,25,2,3,1,1,3,3,4,3,4,4,4,4,3,3,4,3,4,3,4,4,3,2,2,2,2,2,4,4,4,4,4,4,4,5,2,5,3
2023/11/13 10:24:55 PM GMT+3:30,36,30,2,3,2,1,1,1,1,2,5,5,5,5,5,2,5,2,5,4,4,5,2,2,1,1,1,5,4,4,2,4,4,4,4,5,6,4,6
2023/11/14 4:46:32 PM GMT+3:30,37,27,1,2,1,1,2,3,5,5,4,4,3,4,2,2,4,3,3,3,4,3,4,4,4,4,2,4,4,2,4,2,3,4,4,2,2,2,2
2023/11/14 6:47:09 PM GMT+3:30,38,29,1,2,2,1,2,2,5,2,4,4,4,2,2,1,6,1,6,2,5,4,5,2,2,4,4,5,5,5,5,4,4,3,4,7,7,5,6
2023/11/14 8:55:22 PM GMT+3:30,39,29,2,4,2,1,1,1,6,1,6,1,6,6,1,1,6,1,6,1,1,6,3,2,1,4,2,4,4,4,4,5,5,5,5,1,1,1,1
2023/11/14 9:39:37 PM GMT+3:30,40,29,1,3,2,2,1,1,6,1,6,1,6,6,1,1,6,1,6,1,5,6,1,1,1,1,1,2,5,5,5,5,5,5,5,1,1,1,1
2023/11/16 6:38:49 PM GMT+3:30,41,24,1,5,1,1,2,2,5,2,5,2,5,5,2,5,5,2,5,2,5,5,3,4,4,5,5,4,2,2,2,2,2,2,2,6,7,1,7
2023/11/16 6:55:53 PM GMT+3:30,42,28,2,1,2,1,1,1,6,1,6,1,5,6,1,2,6,1,5,1,6,4,4,3,1,1,1,5,5,5,4,4,4,5,5,1,1,1,2
2023/11/16 7:14:09 PM GMT+3:30,43,25,2,3,1,2,3,3,5,4,4,3,3,2,3,3,3,4,4,3,2,2,4,4,3,3,4,4,4,4,4,4,4,4,4,2,2,6,2
2023/11/16 9:37:24 PM GMT+3:30,44,25,1,1,1,1,5,4,2,4,2,4,2,2,5,4,2,5,2,4,2,2,4,4,4,4,5,4,1,1,2,2,2,2,2,6,6,6,6
